,chars,numbers,frequencies
0,the,46,0.016283185840707964
1,Ωœe,20,0.007079646017699115
2,∫≥ƒ,19,0.006725663716814159
3,≥ƒΩ,19,0.006725663716814159
4,t÷Ω,17,0.006017699115044248
5,e√∫,14,0.00495575221238938
6,åœƒ,14,0.00495575221238938
7,eœt,13,0.004601769911504424
8,∫th,12,0.004247787610619469
9,e√å,12,0.004247787610619469
10,πt≠,12,0.004247787610619469
11,e√Ω,12,0.004247787610619469
12,ß≥˚,11,0.0038938053097345134
13,eƒπ,11,0.0038938053097345134
14,å®®,11,0.0038938053097345134
15,eth,10,0.0035398230088495575
16,e√e,10,0.0035398230088495575
17,å∂∂,9,0.003185840707964602
18,e∫∫,9,0.003185840707964602
19,Ωœ∫,9,0.003185840707964602
20,ƒå≠,9,0.003185840707964602
21,¡e√,9,0.003185840707964602
22,œet,9,0.003185840707964602
23,heß,9,0.003185840707964602
24,®πœ,8,0.002831858407079646
25,e≤e,8,0.002831858407079646
26,ƒπ∫,8,0.002831858407079646
27,tΩƒ,8,0.002831858407079646
28,πœ˚,8,0.002831858407079646
29,he√,8,0.002831858407079646
30,≤e√,8,0.002831858407079646
31,∫e∂,8,0.002831858407079646
32,å∂†,8,0.002831858407079646
33,Ω∫e,8,0.002831858407079646
34,ΩΩœ,8,0.002831858407079646
35,≥∫e,7,0.00247787610619469
36,∫e√,7,0.00247787610619469
37,√ΩΩ,7,0.00247787610619469
38,ΩΩt,7,0.00247787610619469
39,∂∂e,7,0.00247787610619469
40,∂e∫,7,0.00247787610619469
41,πΩœ,7,0.00247787610619469
42,∫tΩ,7,0.00247787610619469
43,Ωƒå,7,0.00247787610619469
44,≠∫t,7,0.00247787610619469
45,∫te,7,0.00247787610619469
46,h√e,7,0.00247787610619469
47,e∂≥,7,0.00247787610619469
48,∂≥√,7,0.00247787610619469
49,≥√π,7,0.00247787610619469
50,√πt,7,0.00247787610619469
51,≥å®,7,0.00247787610619469
52,he∫,7,0.00247787610619469
53,ƒπœ,7,0.00247787610619469
54,å√e,7,0.00247787610619469
55,πœt,7,0.00247787610619469
56,∆Ω√,7,0.00247787610619469
57,∫eƒ,7,0.00247787610619469
58,∫tå,7,0.00247787610619469
59,®et,6,0.0021238938053097347
60,πœ≥,6,0.0021238938053097347
61,œ≥«,6,0.0021238938053097347
62,≤≥®,6,0.0021238938053097347
63,≥®œ,6,0.0021238938053097347
64,®œe,6,0.0021238938053097347
65,œe√,6,0.0021238938053097347
66,√åß,6,0.0021238938053097347
67,åßπ,6,0.0021238938053097347
68,ßπ®,6,0.0021238938053097347
69,π®π,6,0.0021238938053097347
70,®πt,6,0.0021238938053097347
71,π∑≈,6,0.0021238938053097347
72,∑≈å,6,0.0021238938053097347
73,œ∫t,6,0.0021238938053097347
74,t≠Ω,6,0.0021238938053097347
75,∆Ω≥,6,0.0021238938053097347
76,Ω≥√,6,0.0021238938053097347
77,tπœ,6,0.0021238938053097347
78,e∂Ω,6,0.0021238938053097347
79,πœ∫,6,0.0021238938053097347
80,tå∂,6,0.0021238938053097347
81,Ωth,6,0.0021238938053097347
82,eƒå,6,0.0021238938053097347
83,Ω≤e,6,0.0021238938053097347
84,ç≥å,6,0.0021238938053097347
85,å®≠,6,0.0021238938053097347
86,®≠∫,6,0.0021238938053097347
87,e«≈,6,0.0021238938053097347
88,«≈®,6,0.0021238938053097347
89,åtπ,6,0.0021238938053097347
90,e∫≥,6,0.0021238938053097347
91,≈®Ω,6,0.0021238938053097347
92,πœe,6,0.0021238938053097347
93,Ω√t,6,0.0021238938053097347
94,eΩœ,6,0.0021238938053097347
95,th√,6,0.0021238938053097347
96,Ω¡e,6,0.0021238938053097347
97,eå√,5,0.0017699115044247787
98,å√Ω,5,0.0017699115044247787
99,he≤,5,0.0017699115044247787
100,å∑e,5,0.0017699115044247787
101,∑eƒ,5,0.0017699115044247787
102,eƒß,5,0.0017699115044247787
103,œ∫å,5,0.0017699115044247787
104,ƒπt,5,0.0017699115044247787
105,å∂t,5,0.0017699115044247787
106,Ω∫t,5,0.0017699115044247787
107,tπΩ,5,0.0017699115044247787
108,tå®,5,0.0017699115044247787
109,t÷e,5,0.0017699115044247787
110,÷eœ,5,0.0017699115044247787
111,œt≠,5,0.0017699115044247787
112,≤eœ,5,0.0017699115044247787
113,åœå,5,0.0017699115044247787
114,®Ω÷,5,0.0017699115044247787
115,teƒ,5,0.0017699115044247787
116,÷hπ,5,0.0017699115044247787
117,πƒe,5,0.0017699115044247787
118,et÷,5,0.0017699115044247787
119,∂Ω∑,5,0.0017699115044247787
120,œå∫,5,0.0017699115044247787
121,π∫∂,5,0.0017699115044247787
122,√eƒ,5,0.0017699115044247787
123,Ωπœ,5,0.0017699115044247787
124,®Ωπ,5,0.0017699115044247787
125,Ωπt,5,0.0017699115044247787
126,∂Ω≥,5,0.0017699115044247787
127,∂Ωœ,5,0.0017699115044247787
128,Ωœt,5,0.0017699115044247787
129,√eå,5,0.0017699115044247787
130,œth,5,0.0017699115044247787
131,e∆Ω,5,0.0017699115044247787
132,√th,5,0.0017699115044247787
133,ƒth,5,0.0017699115044247787
134,√ee,5,0.0017699115044247787
135,÷Ω¡,5,0.0017699115044247787
136,eπ˚,5,0.0017699115044247787
137,π˚h,5,0.0017699115044247787
138,˚ht,5,0.0017699115044247787
139,∫et,5,0.0017699115044247787
140,œƒå,5,0.0017699115044247787
141,e∫e,5,0.0017699115044247787
142,≠eå,4,0.001415929203539823
143,˚åπ,4,0.001415929203539823
144,åπœ,4,0.001415929203539823
145,≤e®,4,0.001415929203539823
146,∫∫t,4,0.001415929203539823
147,e≤≥,4,0.001415929203539823
148,ßå√,4,0.001415929203539823
149,√Ωœ,4,0.001415929203539823
150,∫å∑,4,0.001415929203539823
151,≈å∂,4,0.001415929203539823
152,π∫t,4,0.001415929203539823
153,≠t÷,4,0.001415929203539823
154,∫e≤,4,0.001415929203539823
155,œt÷,4,0.001415929203539823
156,≠Ωœ,4,0.001415929203539823
157,√Ω∆,4,0.001415929203539823
158,Ω∆t,4,0.001415929203539823
159,ßee,4,0.001415929203539823
160,åt∂,4,0.001415929203539823
161,eƒt,4,0.001415929203539823
162,ƒtΩ,4,0.001415929203539823
163,thå,4,0.001415929203539823
164,håt,4,0.001415929203539823
165,πte,4,0.001415929203539823
166,√∫t,4,0.001415929203539823
167,hπ∂,4,0.001415929203539823
168,π∂h,4,0.001415929203539823
169,ƒå∂,4,0.001415929203539823
170,∂≤e,4,0.001415929203539823
171,œtπ,4,0.001415929203539823
172,e√t,4,0.001415929203539823
173,®eå,4,0.001415929203539823
174,eå∫,4,0.001415929203539823
175,≈®e,4,0.001415929203539823
176,ee«,4,0.001415929203539823
177,≠th,4,0.001415929203539823
178,ått,4,0.001415929203539823
179,∂†e,4,0.001415929203539823
180,≈√π,4,0.001415929203539823
181,π®e,4,0.001415929203539823
182,Ω≥œ,4,0.001415929203539823
183,≥œt,4,0.001415929203539823
184,eœπ,4,0.001415929203539823
185,œt√,4,0.001415929203539823
186,∫å√,4,0.001415929203539823
187,Ω√∫,4,0.001415929203539823
188,∫πœ,4,0.001415929203539823
189,te∂,4,0.001415929203539823
190,eç≥,4,0.001415929203539823
191,tΩ√,4,0.001415929203539823
192,eße,4,0.001415929203539823
193,∫∂®,4,0.001415929203539823
194,∂®Ω,4,0.001415929203539823
195,®Ω∫,4,0.001415929203539823
196,eƒΩ,4,0.001415929203539823
197,he≈,4,0.001415929203539823
198,å∫t,4,0.001415929203539823
199,eß≥,4,0.001415929203539823
200,ƒe√,4,0.001415929203539823
201,Ω≥∫,4,0.001415929203539823
202,œeΩ,4,0.001415929203539823
203,œee,4,0.001415929203539823
204,∫∫å,4,0.001415929203539823
205,∫åπ,4,0.001415929203539823
206,åπƒ,4,0.001415929203539823
207,®®∫,4,0.001415929203539823
208,®∫Ω,4,0.001415929203539823
209,etΩ,4,0.001415929203539823
210,√åt,4,0.001415929203539823
211,∫åœ,4,0.001415929203539823
212,ße∫,4,0.001415929203539823
213,ßΩt,4,0.001415929203539823
214,œ≠e,3,0.0010619469026548673
215,√Ω®,3,0.0010619469026548673
216,ƒ∫≥,3,0.0010619469026548673
217,πœ√,3,0.0010619469026548673
218,œ√Ω,3,0.0010619469026548673
219,πtπ,3,0.0010619469026548673
220,∑Ω∫,3,0.0010619469026548673
221,t®π,3,0.0010619469026548673
222,ß≥t,3,0.0010619469026548673
223,≥tπ,3,0.0010619469026548673
224,åtå,3,0.0010619469026548673
225,œe¡,3,0.0010619469026548673
226,Ω∆Ω,3,0.0010619469026548673
227,∂tπ,3,0.0010619469026548673
228,˚å®,3,0.0010619469026548673
229,e∂h,3,0.0010619469026548673
230,∆th,3,0.0010619469026548673
231,∫≠∫,3,0.0010619469026548673
232,te∑,3,0.0010619469026548673
233,hå∫,3,0.0010619469026548673
234,å≈≈,3,0.0010619469026548673
235,e®e,3,0.0010619469026548673
236,Ωtå,3,0.0010619469026548673
237,√e∂,3,0.0010619469026548673
238,π≤e,3,0.0010619469026548673
239,≤et,3,0.0010619469026548673
240,thπ,3,0.0010619469026548673
241,Ω∑∑,3,0.0010619469026548673
242,∑Ωœ,3,0.0010619469026548673
243,†œΩ,3,0.0010619469026548673
244,œΩ÷,3,0.0010619469026548673
245,Ω÷œ,3,0.0010619469026548673
246,÷œå,3,0.0010619469026548673
247,÷å∫,3,0.0010619469026548673
248,∫ƒπ,3,0.0010619469026548673
249,ƒß≠,3,0.0010619469026548673
250,∆π√,3,0.0010619469026548673
251,√tΩ,3,0.0010619469026548673
252,å∫e,3,0.0010619469026548673
253,eΩ∆,3,0.0010619469026548673
254,ƒΩπ,3,0.0010619469026548673
255,å∫π,3,0.0010619469026548673
256,∑≈®,3,0.0010619469026548673
