,chars,numbers,frequencies
0,the,46,0.016283185840707964
1,oœe,20,0.007079646017699115
2,∫uƒ,19,0.006725663716814159
3,uƒo,19,0.006725663716814159
4,two,17,0.006017699115044248
5,er∫,14,0.00495575221238938
6,aœƒ,14,0.00495575221238938
7,eœt,13,0.004601769911504424
8,∫th,12,0.004247787610619469
9,era,12,0.004247787610619469
10,πt≠,12,0.004247787610619469
11,ero,12,0.004247787610619469
12,bu˚,11,0.0038938053097345134
13,eƒπ,11,0.0038938053097345134
14,a®®,11,0.0038938053097345134
15,eth,10,0.0035398230088495575
16,ere,10,0.0035398230088495575
17,acc,9,0.003185840707964602
18,e∫∫,9,0.003185840707964602
19,oœ∫,9,0.003185840707964602
20,ƒa≠,9,0.003185840707964602
21,zer,9,0.003185840707964602
22,œet,9,0.003185840707964602
23,heb,9,0.003185840707964602
24,®πœ,8,0.002831858407079646
25,e≤e,8,0.002831858407079646
26,ƒπ∫,8,0.002831858407079646
27,toƒ,8,0.002831858407079646
28,πœ˚,8,0.002831858407079646
29,her,8,0.002831858407079646
30,≤er,8,0.002831858407079646
31,∫ec,8,0.002831858407079646
32,ack,8,0.002831858407079646
33,o∫e,8,0.002831858407079646
34,ooœ,8,0.002831858407079646
35,u∫e,7,0.00247787610619469
36,∫er,7,0.00247787610619469
37,roo,7,0.00247787610619469
38,oot,7,0.00247787610619469
39,cce,7,0.00247787610619469
40,ce∫,7,0.00247787610619469
41,πoœ,7,0.00247787610619469
42,∫to,7,0.00247787610619469
43,oƒa,7,0.00247787610619469
44,≠∫t,7,0.00247787610619469
45,∫te,7,0.00247787610619469
46,hre,7,0.00247787610619469
47,ecu,7,0.00247787610619469
48,cur,7,0.00247787610619469
49,urπ,7,0.00247787610619469
50,rπt,7,0.00247787610619469
51,ua®,7,0.00247787610619469
52,he∫,7,0.00247787610619469
53,ƒπœ,7,0.00247787610619469
54,are,7,0.00247787610619469
55,πœt,7,0.00247787610619469
56,for,7,0.00247787610619469
57,∫eƒ,7,0.00247787610619469
58,∫ta,7,0.00247787610619469
59,®et,6,0.0021238938053097347
60,πœu,6,0.0021238938053097347
61,œu«,6,0.0021238938053097347
62,≤u®,6,0.0021238938053097347
63,u®œ,6,0.0021238938053097347
64,®œe,6,0.0021238938053097347
65,œer,6,0.0021238938053097347
66,rab,6,0.0021238938053097347
67,abπ,6,0.0021238938053097347
68,bπ®,6,0.0021238938053097347
69,π®π,6,0.0021238938053097347
70,®πt,6,0.0021238938053097347
71,π∑≈,6,0.0021238938053097347
72,∑≈a,6,0.0021238938053097347
73,œ∫t,6,0.0021238938053097347
74,t≠o,6,0.0021238938053097347
75,fou,6,0.0021238938053097347
76,our,6,0.0021238938053097347
77,tπœ,6,0.0021238938053097347
78,eco,6,0.0021238938053097347
79,πœ∫,6,0.0021238938053097347
80,tac,6,0.0021238938053097347
81,oth,6,0.0021238938053097347
82,eƒa,6,0.0021238938053097347
83,o≤e,6,0.0021238938053097347
84,qua,6,0.0021238938053097347
85,a®≠,6,0.0021238938053097347
86,®≠∫,6,0.0021238938053097347
87,e«≈,6,0.0021238938053097347
88,«≈®,6,0.0021238938053097347
89,atπ,6,0.0021238938053097347
90,e∫u,6,0.0021238938053097347
91,≈®o,6,0.0021238938053097347
92,πœe,6,0.0021238938053097347
93,ort,6,0.0021238938053097347
94,eoœ,6,0.0021238938053097347
95,thr,6,0.0021238938053097347
96,oze,6,0.0021238938053097347
97,ear,5,0.0017699115044247787
98,aro,5,0.0017699115044247787
99,he≤,5,0.0017699115044247787
100,a∑e,5,0.0017699115044247787
101,∑eƒ,5,0.0017699115044247787
102,eƒb,5,0.0017699115044247787
103,œ∫a,5,0.0017699115044247787
104,ƒπt,5,0.0017699115044247787
105,act,5,0.0017699115044247787
106,o∫t,5,0.0017699115044247787
107,tπo,5,0.0017699115044247787
108,ta®,5,0.0017699115044247787
109,twe,5,0.0017699115044247787
110,weœ,5,0.0017699115044247787
111,œt≠,5,0.0017699115044247787
112,≤eœ,5,0.0017699115044247787
113,aœa,5,0.0017699115044247787
114,®ow,5,0.0017699115044247787
115,teƒ,5,0.0017699115044247787
116,whπ,5,0.0017699115044247787
117,πƒe,5,0.0017699115044247787
118,etw,5,0.0017699115044247787
119,co∑,5,0.0017699115044247787
120,œa∫,5,0.0017699115044247787
121,π∫c,5,0.0017699115044247787
122,reƒ,5,0.0017699115044247787
123,oπœ,5,0.0017699115044247787
124,®oπ,5,0.0017699115044247787
125,oπt,5,0.0017699115044247787
126,cou,5,0.0017699115044247787
127,coœ,5,0.0017699115044247787
128,oœt,5,0.0017699115044247787
129,rea,5,0.0017699115044247787
130,œth,5,0.0017699115044247787
131,efo,5,0.0017699115044247787
132,rth,5,0.0017699115044247787
133,ƒth,5,0.0017699115044247787
134,ree,5,0.0017699115044247787
135,woz,5,0.0017699115044247787
136,eπ˚,5,0.0017699115044247787
137,π˚h,5,0.0017699115044247787
138,˚ht,5,0.0017699115044247787
139,∫et,5,0.0017699115044247787
140,œƒa,5,0.0017699115044247787
141,e∫e,5,0.0017699115044247787
142,≠ea,4,0.001415929203539823
143,˚aπ,4,0.001415929203539823
144,aπœ,4,0.001415929203539823
145,≤e®,4,0.001415929203539823
146,∫∫t,4,0.001415929203539823
147,e≤u,4,0.001415929203539823
148,bar,4,0.001415929203539823
149,roœ,4,0.001415929203539823
150,∫a∑,4,0.001415929203539823
151,≈ac,4,0.001415929203539823
152,π∫t,4,0.001415929203539823
153,≠tw,4,0.001415929203539823
154,∫e≤,4,0.001415929203539823
155,œtw,4,0.001415929203539823
156,≠oœ,4,0.001415929203539823
157,rof,4,0.001415929203539823
158,oft,4,0.001415929203539823
159,bee,4,0.001415929203539823
160,atc,4,0.001415929203539823
161,eƒt,4,0.001415929203539823
162,ƒto,4,0.001415929203539823
163,tha,4,0.001415929203539823
164,hat,4,0.001415929203539823
165,πte,4,0.001415929203539823
166,r∫t,4,0.001415929203539823
167,hπc,4,0.001415929203539823
168,πch,4,0.001415929203539823
169,ƒac,4,0.001415929203539823
170,c≤e,4,0.001415929203539823
171,œtπ,4,0.001415929203539823
172,ert,4,0.001415929203539823
