,chars,numbers,frequencies
0,µ¬©,46,0.016283185840707964
1,Ωœ©,20,0.007079646017699115
2,∫≥ƒ,19,0.006725663716814159
3,≥ƒΩ,19,0.006725663716814159
4,µ÷Ω,17,0.006017699115044248
5,©√∫,14,0.00495575221238938
6,åœƒ,14,0.00495575221238938
7,©œµ,13,0.004601769911504424
8,∫µ¬,12,0.004247787610619469
9,©√å,12,0.004247787610619469
10,πµ≠,12,0.004247787610619469
11,©√Ω,12,0.004247787610619469
12,ß≥˚,11,0.0038938053097345134
13,©ƒπ,11,0.0038938053097345134
14,å®®,11,0.0038938053097345134
15,©µ¬,10,0.0035398230088495575
16,©√©,10,0.0035398230088495575
17,å∂∂,9,0.003185840707964602
18,©∫∫,9,0.003185840707964602
19,Ωœ∫,9,0.003185840707964602
20,ƒå≠,9,0.003185840707964602
21,¡©√,9,0.003185840707964602
22,œ©µ,9,0.003185840707964602
23,¬©ß,9,0.003185840707964602
24,®πœ,8,0.002831858407079646
25,©≤©,8,0.002831858407079646
26,ƒπ∫,8,0.002831858407079646
27,µΩƒ,8,0.002831858407079646
28,πœ˚,8,0.002831858407079646
29,¬©√,8,0.002831858407079646
30,≤©√,8,0.002831858407079646
31,∫©∂,8,0.002831858407079646
32,å∂†,8,0.002831858407079646
33,Ω∫©,8,0.002831858407079646
34,ΩΩœ,8,0.002831858407079646
35,≥∫©,7,0.00247787610619469
36,∫©√,7,0.00247787610619469
37,√ΩΩ,7,0.00247787610619469
38,ΩΩµ,7,0.00247787610619469
39,∂∂©,7,0.00247787610619469
40,∂©∫,7,0.00247787610619469
41,πΩœ,7,0.00247787610619469
42,∫µΩ,7,0.00247787610619469
43,Ωƒå,7,0.00247787610619469
44,≠∫µ,7,0.00247787610619469
45,∫µ©,7,0.00247787610619469
46,¬√©,7,0.00247787610619469
47,©∂≥,7,0.00247787610619469
48,∂≥√,7,0.00247787610619469
49,≥√π,7,0.00247787610619469
50,√πµ,7,0.00247787610619469
51,≥å®,7,0.00247787610619469
52,¬©∫,7,0.00247787610619469
53,ƒπœ,7,0.00247787610619469
54,å√©,7,0.00247787610619469
55,πœµ,7,0.00247787610619469
56,∆Ω√,7,0.00247787610619469
57,∫©ƒ,7,0.00247787610619469
58,∫µå,7,0.00247787610619469
59,®©µ,6,0.0021238938053097347
60,πœ≥,6,0.0021238938053097347
61,œ≥«,6,0.0021238938053097347
62,≤≥®,6,0.0021238938053097347
63,≥®œ,6,0.0021238938053097347
64,®œ©,6,0.0021238938053097347
65,œ©√,6,0.0021238938053097347
66,√åß,6,0.0021238938053097347
67,åßπ,6,0.0021238938053097347
68,ßπ®,6,0.0021238938053097347
69,π®π,6,0.0021238938053097347
70,®πµ,6,0.0021238938053097347
71,π∑≈,6,0.0021238938053097347
72,∑≈å,6,0.0021238938053097347
73,œ∫µ,6,0.0021238938053097347
74,µ≠Ω,6,0.0021238938053097347
75,∆Ω≥,6,0.0021238938053097347
76,Ω≥√,6,0.0021238938053097347
77,µπœ,6,0.0021238938053097347
78,©∂Ω,6,0.0021238938053097347
79,πœ∫,6,0.0021238938053097347
80,µå∂,6,0.0021238938053097347
81,Ωµ¬,6,0.0021238938053097347
82,©ƒå,6,0.0021238938053097347
83,Ω≤©,6,0.0021238938053097347
84,ç≥å,6,0.0021238938053097347
85,å®≠,6,0.0021238938053097347
86,®≠∫,6,0.0021238938053097347
87,©«≈,6,0.0021238938053097347
88,«≈®,6,0.0021238938053097347
89,åµπ,6,0.0021238938053097347
90,©∫≥,6,0.0021238938053097347
91,≈®Ω,6,0.0021238938053097347
92,πœ©,6,0.0021238938053097347
93,Ω√µ,6,0.0021238938053097347
94,©Ωœ,6,0.0021238938053097347
95,µ¬√,6,0.0021238938053097347
96,Ω¡©,6,0.0021238938053097347
97,©å√,5,0.0017699115044247787
98,å√Ω,5,0.0017699115044247787
99,¬©≤,5,0.0017699115044247787
100,å∑©,5,0.0017699115044247787
101,∑©ƒ,5,0.0017699115044247787
102,©ƒß,5,0.0017699115044247787
103,œ∫å,5,0.0017699115044247787
104,ƒπµ,5,0.0017699115044247787
105,å∂µ,5,0.0017699115044247787
106,Ω∫µ,5,0.0017699115044247787
107,µπΩ,5,0.0017699115044247787
108,µå®,5,0.0017699115044247787
109,µ÷©,5,0.0017699115044247787
110,÷©œ,5,0.0017699115044247787
111,œµ≠,5,0.0017699115044247787
112,≤©œ,5,0.0017699115044247787
113,åœå,5,0.0017699115044247787
114,®Ω÷,5,0.0017699115044247787
115,µ©ƒ,5,0.0017699115044247787
116,÷¬π,5,0.0017699115044247787
117,πƒ©,5,0.0017699115044247787
118,©µ÷,5,0.0017699115044247787
119,∂Ω∑,5,0.0017699115044247787
120,œå∫,5,0.0017699115044247787
121,π∫∂,5,0.0017699115044247787
122,√©ƒ,5,0.0017699115044247787
123,Ωπœ,5,0.0017699115044247787
124,®Ωπ,5,0.0017699115044247787
125,Ωπµ,5,0.0017699115044247787
126,∂Ω≥,5,0.0017699115044247787
127,∂Ωœ,5,0.0017699115044247787
128,Ωœµ,5,0.0017699115044247787
129,√©å,5,0.0017699115044247787
130,œµ¬,5,0.0017699115044247787
131,©∆Ω,5,0.0017699115044247787
132,√µ¬,5,0.0017699115044247787
133,ƒµ¬,5,0.0017699115044247787
134,√©©,5,0.0017699115044247787
135,÷Ω¡,5,0.0017699115044247787
136,©π˚,5,0.0017699115044247787
137,π˚¬,5,0.0017699115044247787
138,˚¬µ,5,0.0017699115044247787
139,∫©µ,5,0.0017699115044247787
140,œƒå,5,0.0017699115044247787
141,©∫©,5,0.0017699115044247787
142,≠©å,4,0.001415929203539823
143,˚åπ,4,0.001415929203539823
144,åπœ,4,0.001415929203539823
