,chars,numbers,frequencies
0,©,355,0.1256637168141593
1,µ,256,0.09061946902654867
2,Ω,240,0.08495575221238938
3,∫,214,0.07575221238938053
4,å,201,0.07115044247787611
5,π,180,0.06371681415929203
6,œ,174,0.061592920353982304
7,√,163,0.05769911504424779
8,ƒ,125,0.04424778761061947
9,®,124,0.04389380530973451
10,≥,119,0.04212389380530973
11,¬,98,0.034690265486725665
12,∂,93,0.032920353982300886
13,≠,62,0.021946902654867255
14,ß,58,0.020530973451327435
15,≈,55,0.019469026548672566
16,÷,55,0.019469026548672566
17,∆,48,0.016991150442477877
18,∑,47,0.01663716814159292
19,˚,40,0.01415929203539823
20,≤,40,0.01415929203539823
21,†,16,0.005663716814159292
22,«,15,0.005309734513274336
23,¡,12,0.004247787610619469
24,ç,7,0.00247787610619469
25,ø,2,0.0007079646017699115
