,chars,numbers,frequencies
0,tc,60,0.021246458923512748
1,eh,59,0.020892351274787536
2,ce,49,0.017351274787535412
3,as,45,0.01593484419263456
4,ns,44,0.015580736543909348
5,ot,44,0.015580736543909348
6,se,37,0.013101983002832862
7,er,35,0.012393767705382436
8,oe,34,0.012039660056657223
9,he,34,0.012039660056657223
10,st,32,0.0113314447592068
11,et,31,0.010977337110481586
12,ha,29,0.010269121813031162
13,eo,27,0.009560906515580737
14,ta,27,0.009560906515580737
15,is,27,0.009560906515580737
16,iu,26,0.009206798866855524
17,nt,26,0.009206798866855524
18,id,26,0.009206798866855524
19,tg,24,0.0084985835694051
20,te,23,0.008144475920679886
21,es,23,0.008144475920679886
22,ol,23,0.008144475920679886
23,ra,23,0.008144475920679886
24,ve,23,0.008144475920679886
25,ei,22,0.007790368271954674
26,ih,22,0.007790368271954674
27,ho,22,0.007790368271954674
28,ri,22,0.007790368271954674
29,dn,21,0.007436260623229462
30,tm,21,0.007436260623229462
31,rn,21,0.007436260623229462
32,tn,21,0.007436260623229462
33,it,21,0.007436260623229462
34,ah,21,0.007436260623229462
35,sr,21,0.007436260623229462
36,lr,20,0.007082152974504249
37,oi,20,0.007082152974504249
38,ti,19,0.006728045325779037
39,al,19,0.006728045325779037
40,eu,19,0.006728045325779037
41,ee,19,0.006728045325779037
42,ua,18,0.006373937677053824
43,io,18,0.006373937677053824
44,ga,18,0.006373937677053824
45,de,17,0.0060198300283286115
46,no,17,0.0060198300283286115
47,da,17,0.0060198300283286115
48,wl,16,0.0056657223796034
49,at,16,0.0056657223796034
50,so,16,0.0056657223796034
51,ao,16,0.0056657223796034
52,aa,15,0.005311614730878187
53,oo,15,0.005311614730878187
54,hn,15,0.005311614730878187
55,re,15,0.005311614730878187
56,ev,14,0.004957507082152974
57,hi,14,0.004957507082152974
58,mo,14,0.004957507082152974
59,we,14,0.004957507082152974
60,on,14,0.004957507082152974
61,lo,13,0.004603399433427762
62,ld,13,0.004603399433427762
63,nd,13,0.004603399433427762
64,lh,13,0.004603399433427762
65,dd,13,0.004603399433427762
66,dm,13,0.004603399433427762
67,ed,12,0.00424929178470255
68,ue,12,0.00424929178470255
69,si,12,0.00424929178470255
70,ay,12,0.00424929178470255
71,ya,12,0.00424929178470255
72,fd,12,0.00424929178470255
73,ew,12,0.00424929178470255
74,lb,11,0.003895184135977337
75,ci,11,0.003895184135977337
76,ht,11,0.003895184135977337
77,oa,11,0.003895184135977337
78,na,10,0.0035410764872521247
79,ag,10,0.0035410764872521247
80,nr,10,0.0035410764872521247
81,an,10,0.0035410764872521247
82,tt,10,0.0035410764872521247
83,do,10,0.0035410764872521247
84,in,9,0.003186968838526912
85,uu,9,0.003186968838526912
86,fi,9,0.003186968838526912
87,ar,9,0.003186968838526912
88,ge,9,0.003186968838526912
89,xe,9,0.003186968838526912
90,sb,9,0.003186968838526912
91,cn,9,0.003186968838526912
92,ey,9,0.003186968838526912
93,ap,9,0.003186968838526912
94,ea,9,0.003186968838526912
95,to,8,0.0028328611898017
96,bi,8,0.0028328611898017
97,iw,8,0.0028328611898017
98,pf,8,0.0028328611898017
99,im,8,0.0028328611898017
100,mt,8,0.0028328611898017
101,uc,8,0.0028328611898017
102,rt,8,0.0028328611898017
103,nu,8,0.0028328611898017
104,fh,8,0.0028328611898017
105,ef,8,0.0028328611898017
106,sl,7,0.002478753541076487
107,ip,7,0.002478753541076487
108,pe,7,0.002478753541076487
109,rw,7,0.002478753541076487
110,pa,7,0.002478753541076487
111,lt,7,0.002478753541076487
112,li,7,0.002478753541076487
113,ls,7,0.002478753541076487
114,gc,7,0.002478753541076487
