,chars,numbers,frequencies
0,w,72,0.12743362831858407
1,l,65,0.11504424778761062
2,s,50,0.08849557522123894
3,a,46,0.08141592920353982
4,k,42,0.0743362831858407
5,g,42,0.0743362831858407
6,f,30,0.05309734513274336
7,j,29,0.05132743362831858
8,m,26,0.04601769911504425
9,v,24,0.04247787610619469
10,u,19,0.033628318584070796
11,d,15,0.02654867256637168
12,q,15,0.02654867256637168
13,z,14,0.024778761061946902
14,t,13,0.023008849557522124
15,o,13,0.023008849557522124
16,x,13,0.023008849557522124
17,e,11,0.019469026548672566
18,h,6,0.010619469026548672
19,n,5,0.008849557522123894
20,r,4,0.007079646017699115
21,p,4,0.007079646017699115
22,c,3,0.005309734513274336
23,y,2,0.0035398230088495575
24,i,2,0.0035398230088495575
